City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Talnakh,RU,69.4865,88.3972,-35.84,64,45,2.17,scattered clouds
80,Elko,US,41.0002,-115.5012,27.0,82,50,8.99,scattered clouds
81,Kapaa,US,22.0752,-159.319,75.2,83,40,16.11,light rain
82,Yar-Sale,RU,66.8333,70.8333,-39.64,80,15,3.33,few clouds
83,Sabha,LY,27.0377,14.4283,46.29,49,0,3.4,clear sky
84,Mao,ES,39.8885,4.2658,57.2,82,0,10.36,clear sky
85,Victoria,HK,22.2855,114.1577,68.0,82,27,5.01,scattered clouds
86,Parabel,RU,58.6978,81.4825,-50.58,76,54,5.3,broken clouds
87,Punta Arenas,CL,-53.15,-70.9167,51.8,62,0,19.57,light rain
88,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,1,9.22,clear sky
89,Yumen,CN,40.2833,97.2,22.95,79,100,26.15,overcast clouds
90,Bosaso,SO,11.2842,49.1816,72.63,72,0,6.76,clear sky
91,Kaitangata,NZ,-46.2817,169.8464,62.01,60,93,21.0,overcast clouds
92,Quelimane,MZ,-17.8786,36.8883,77.0,83,75,5.75,light rain
93,Airai,TL,-8.9266,125.4092,72.97,78,89,4.07,light rain
94,Hamilton,US,39.1834,-84.5333,28.0,68,1,4.61,clear sky
95,Tadine,NC,-21.55,167.8833,78.46,78,91,21.7,overcast clouds
96,Butaritari,KI,3.0707,172.7902,80.17,78,98,10.04,overcast clouds
97,Avarua,CK,-21.2078,-159.775,86.0,66,20,10.36,few clouds
98,Pevek,RU,69.7008,170.3133,-19.01,88,97,4.5,overcast clouds
99,Santa Maria Del Oro,MX,25.9333,-105.3667,56.12,43,11,9.08,few clouds
100,Ambon,ID,-3.6954,128.1814,77.0,88,40,8.05,scattered clouds
101,Atar,MR,20.5169,-13.0499,63.5,24,22,8.19,few clouds
102,Saint-Pierre,RE,-21.3393,55.4781,82.4,61,90,3.44,overcast clouds
103,Imeni Poliny Osipenko,RU,52.4201,136.4853,-2.11,89,58,4.7,broken clouds
104,Mizan Teferi,ET,6.9833,35.5833,63.45,60,23,2.42,few clouds
105,Kodinsk,RU,58.6881,99.1844,-9.63,88,100,2.84,overcast clouds
106,Kenora,CA,49.8167,-94.4337,21.2,93,90,10.36,light snow
107,Chuy,UY,-33.6971,-53.4616,69.8,96,3,5.32,clear sky
108,Bethel,US,41.3712,-73.414,21.2,45,1,10.36,clear sky
109,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,40,8.05,scattered clouds
110,Arandis,NA,-22.4167,14.9667,70.0,90,100,6.2,overcast clouds
111,Bougouni,ML,11.417,-7.479,63.36,25,0,4.81,clear sky
112,Goundam,ML,16.4145,-3.6708,62.29,21,11,11.45,few clouds
113,Apiai,BR,-24.5094,-48.8425,62.6,100,100,1.16,overcast clouds
114,Pangody,RU,65.85,74.4859,-45.13,78,0,0.85,clear sky
115,Gao,ML,16.6362,1.637,61.48,22,55,13.13,broken clouds
116,Gizo,SB,-8.103,156.8419,85.39,61,93,8.93,overcast clouds
117,Malumfashi,NG,11.7853,7.6218,58.51,30,24,8.86,few clouds
118,Santa Isabel,BR,-23.3156,-46.2214,71.6,94,20,3.44,few clouds
119,Tual,ID,-5.6667,132.75,84.6,72,84,11.61,broken clouds
120,Arraial Do Cabo,BR,-22.9661,-42.0278,74.75,87,100,16.08,overcast clouds
121,Japura,ID,-0.3167,102.35,80.26,78,100,1.68,overcast clouds
122,Saint-Joseph,RE,-21.3667,55.6167,82.4,61,90,3.44,overcast clouds
123,Thiruvananthapuram,IN,8.4833,76.9167,84.2,74,20,3.44,haze
124,Cherskiy,RU,68.75,161.3,-24.25,86,100,7.83,overcast clouds
125,Fortuna,US,40.5982,-124.1573,46.99,93,90,8.05,overcast clouds
126,Sao Filipe,CV,14.8961,-24.4956,72.46,64,46,4.27,scattered clouds
127,Clarence Town,AU,-32.5833,151.7833,99.0,16,7,6.91,clear sky
128,Bengkulu,ID,-3.8004,102.2655,88.93,53,92,4.29,overcast clouds
129,Nanortalik,GL,60.1432,-45.2371,22.12,88,0,9.62,clear sky
130,Raudeberg,NO,61.9875,5.1352,37.0,81,97,17.85,overcast clouds
131,Winslow,US,35.0242,-110.6974,37.4,70,1,4.61,clear sky
132,Champerico,GT,14.3,-91.9167,63.0,85,98,5.99,overcast clouds
133,Upernavik,GL,72.7868,-56.1549,20.19,83,100,6.89,overcast clouds
134,Kaka,TM,37.3482,59.6143,33.58,80,100,6.22,overcast clouds
135,Soroca,MD,48.1558,28.2975,37.99,93,99,12.5,overcast clouds
136,Yellowknife,CA,62.456,-114.3525,-31.0,75,20,3.44,few clouds
137,Cape Town,ZA,-33.9258,18.4232,64.99,59,0,13.8,clear sky
138,Ivanjica,RS,43.5803,20.2311,44.6,76,40,8.05,scattered clouds
139,Kichmengskiy Gorodok,RU,59.9816,45.7854,19.76,97,100,4.47,light snow
140,Priyutnoye,RU,46.1011,43.5072,30.33,98,1,8.08,clear sky
141,Panzhihua,CN,26.5851,101.7128,55.99,49,0,1.01,clear sky
142,Severo-Kurilsk,RU,50.6789,156.125,19.96,93,93,20.94,light snow
143,Tessalit,ML,20.1986,1.0114,59.27,26,0,8.43,clear sky
144,Hermiston,US,45.8404,-119.2895,32.0,80,1,4.61,clear sky
145,Vzmorye,RU,54.6961,20.2361,37.0,93,90,8.95,overcast clouds
146,Saint George,US,37.1041,-113.5841,44.01,70,90,4.61,overcast clouds
147,Koeru,EE,58.9631,26.0308,36.52,98,100,10.18,overcast clouds
148,Luderitz,NA,-26.6481,15.1594,69.91,56,94,25.37,overcast clouds
149,Clyde River,CA,70.4692,-68.5914,-5.8,77,1,2.3,clear sky
150,Thompson,CA,55.7435,-97.8558,-14.8,76,90,9.22,light snow
151,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.99,91,75,4.76,broken clouds
152,Avera,US,33.194,-82.5271,42.01,81,75,6.91,broken clouds
153,Price,US,39.5994,-110.8107,23.0,86,1,10.36,clear sky
154,Madison Heights,US,42.4859,-83.1052,21.99,68,1,2.64,clear sky
155,Gonaives,HT,19.45,-72.6833,73.26,81,2,6.76,clear sky
156,Vao,NC,-22.6667,167.4833,75.69,80,100,24.38,overcast clouds
157,Nakhon Phanom,TH,17.3333,104.4167,73.4,64,0,4.61,clear sky
158,Baykit,RU,61.67,96.37,-27.04,80,100,2.19,overcast clouds
159,Hilton Head Island,US,32.2163,-80.7526,48.0,93,75,4.61,broken clouds
160,Longyearbyen,SJ,78.2186,15.6401,12.2,67,75,10.36,broken clouds
161,Iquique,CL,-20.2208,-70.1431,66.2,82,0,3.44,clear sky
162,Tiksi,RU,71.6872,128.8694,-41.33,79,56,5.12,broken clouds
163,Carnarvon,AU,-24.8667,113.6333,82.4,47,75,14.97,broken clouds
164,Bandarbeyla,SO,9.4942,50.8122,72.36,71,58,18.75,broken clouds
165,Pokhara,NP,28.2333,83.9833,65.48,33,1,4.23,clear sky
166,Las Palmas,ES,28.4204,-14.0131,62.6,82,40,10.36,scattered clouds
167,Devonport,AU,-41.1667,146.35,73.99,55,100,5.97,light rain
168,Baherden,TM,38.4362,57.4316,32.67,81,0,2.82,clear sky
169,Constitucion,CL,-35.3333,-72.4167,58.66,86,18,1.45,few clouds
170,Dalbandin,PK,28.8947,64.4101,36.54,57,0,7.56,clear sky
171,Vila Velha,BR,-20.3297,-40.2925,73.99,94,40,3.44,scattered clouds
172,Esperance,AU,-33.8667,121.9,71.6,60,90,6.91,overcast clouds
173,Port-Cartier,CA,50.0334,-66.8654,34.0,69,100,14.97,overcast clouds
174,Gravelbourg,CA,49.8834,-106.5512,-0.4,78,89,8.05,overcast clouds
175,Buala,SB,-8.145,159.5921,85.6,63,100,5.59,overcast clouds
176,Caravelas,BR,-17.7125,-39.2481,73.4,86,27,2.28,scattered clouds
177,Bilibino,RU,68.0546,166.4372,-33.05,80,17,1.34,few clouds
178,Ibra,OM,22.6906,58.5334,60.35,30,0,5.21,clear sky
179,Kodiak,US,57.79,-152.4072,39.2,56,1,18.41,clear sky
180,Chokurdakh,RU,70.6333,147.9167,-34.87,83,100,8.21,overcast clouds
181,Marzuq,YE,14.4,46.4667,53.29,41,97,2.15,overcast clouds
182,Baneh,IR,35.9975,45.8853,21.88,65,0,3.33,clear sky
183,Aliwal North,ZA,-30.6937,26.7114,74.17,50,75,3.51,broken clouds
184,Portland,US,45.5234,-122.6762,42.01,74,72,2.24,broken clouds
185,Hombourg-Haut,FR,49.1236,6.774,35.01,93,96,1.01,overcast clouds
186,Sarakhs,IR,36.5449,61.1577,35.98,70,99,8.43,overcast clouds
187,Mendeleyevo,RU,56.0333,37.2167,32.0,100,90,6.71,fog
188,Nicoya,CR,10.1483,-85.452,80.6,57,0,20.71,clear sky
189,Pyay,MM,18.8167,95.2167,79.92,31,0,2.73,clear sky
190,Gornopravdinsk,RU,60.05,69.9,-42.74,80,33,1.52,scattered clouds
191,Tasiilaq,GL,65.6145,-37.6368,17.6,41,64,3.44,broken clouds
192,Zavetnoye,RU,47.1194,43.8903,30.85,98,96,9.17,overcast clouds
193,Meadow Lake,US,34.8014,-106.5436,46.4,42,75,8.05,broken clouds
194,Kuytun,RU,54.3419,101.5036,2.59,92,100,2.53,overcast clouds
195,Cockburn Town,TC,21.4612,-71.1419,77.47,70,0,8.1,clear sky
196,Paamiut,GL,61.994,-49.6678,19.83,80,0,9.4,clear sky
197,Husavik,IS,66.0449,-17.3389,28.4,93,90,16.11,snow
198,Mecca,SA,21.4267,39.8261,69.49,53,14,1.28,few clouds
199,Mount Isa,AU,-20.7333,139.5,96.8,28,56,10.36,broken clouds
200,San Luis,AR,-33.295,-66.3356,78.15,35,0,10.6,clear sky
201,Oskemen,KZ,49.9565,82.6119,8.6,85,90,2.24,snow
202,Hasaki,JP,35.7333,140.8333,43.0,93,75,17.27,light rain
203,Alice Springs,AU,-23.7,133.8833,93.2,43,40,6.91,moderate rain
204,Sur,OM,22.5667,59.5289,67.48,51,0,14.12,clear sky
205,Pangnirtung,CA,66.1451,-65.7125,15.53,80,69,2.44,broken clouds
206,Saint-Philippe,RE,-21.3585,55.7679,82.4,61,90,3.44,overcast clouds
207,Vestmannaeyjar,IS,63.4427,-20.2734,32.99,85,85,22.64,overcast clouds
208,Inirida,CO,3.8653,-67.9239,73.72,94,100,2.62,light rain
209,Grindavik,IS,63.8424,-22.4338,30.2,69,40,27.63,scattered clouds
210,Georgetown,MY,5.4112,100.3354,86.0,70,20,4.61,few clouds
211,Severnoye,RU,56.3491,78.3619,-44.19,79,45,5.23,scattered clouds
212,Torbay,CA,47.6666,-52.7314,25.0,80,75,19.57,broken clouds
213,Huilong,CN,31.8111,121.655,50.0,75,87,1.99,overcast clouds
214,Weligama,LK,5.9667,80.4167,80.26,73,27,3.85,scattered clouds
215,Hanna,CA,51.6334,-111.9018,-6.0,82,95,7.0,overcast clouds
216,High Rock,BS,26.6208,-78.2833,64.4,94,0,8.14,clear sky
217,Doctor Arroyo,MX,23.6667,-100.1833,64.94,37,81,6.78,broken clouds
218,Mandan,US,46.8267,-100.8896,21.2,79,90,11.5,overcast clouds
219,Katherine,AU,-14.4667,132.2667,87.8,62,75,10.36,broken clouds
220,Kuusamo,FI,65.9667,29.1833,10.4,85,90,8.05,light snow
221,Flin Flon,CA,54.7682,-101.865,-22.76,86,94,6.76,overcast clouds
222,Saldanha,ZA,-33.0117,17.9442,59.0,67,0,11.5,clear sky
223,Uyuni,BO,-20.4597,-66.825,50.27,68,13,6.33,light rain
224,Khatanga,RU,71.9667,102.5,-24.84,85,100,11.21,overcast clouds
225,Moba,CN,33.2288,105.0179,35.82,84,99,3.69,overcast clouds
226,Chino Valley,US,34.7575,-112.4538,39.0,100,90,9.22,moderate rain
227,Lebu,CL,-37.6167,-73.65,57.27,86,0,17.0,clear sky
228,Sitrah,BH,26.1547,50.6206,59.0,72,0,10.36,clear sky
229,Codrington,AU,-38.2667,141.9667,100.31,15,100,6.96,overcast clouds
230,Reitz,ZA,-27.8014,28.4273,58.28,90,78,6.51,broken clouds
231,Wanning,CN,18.8003,110.3967,73.9,66,0,5.17,clear sky
232,Vardo,NO,70.3705,31.1107,19.89,95,100,27.94,overcast clouds
233,Kabare,CD,-2.4683,28.8242,59.95,82,98,0.38,overcast clouds
234,Tongchuan,CN,35.0806,109.0897,40.82,67,100,6.71,overcast clouds
235,Salta,AR,-24.7859,-65.4117,68.0,77,0,3.44,moderate rain
236,Salisbury,GB,51.0693,-1.7957,28.4,93,75,4.61,broken clouds
237,Desterro,BR,-7.2906,-37.0939,69.21,77,61,11.41,broken clouds
238,Mahina,PF,-17.5065,-149.489,82.4,69,75,6.91,light rain
239,Kendal,GB,54.3268,-2.7476,30.0,98,98,1.01,overcast clouds
240,Tazovskiy,RU,67.4667,78.7,-42.7,78,0,1.14,clear sky
241,Wanxian,CN,30.8039,108.3897,52.79,69,100,4.81,light rain
242,Flinders,AU,-34.5833,150.8552,87.01,56,43,8.01,scattered clouds
243,Guerrero Negro,MX,27.9769,-114.0611,57.78,73,24,8.9,few clouds
244,Kieta,PG,-6.2167,155.6333,85.37,58,19,7.81,few clouds
245,Baghdad,IQ,33.3406,44.4009,32.0,64,0,3.44,clear sky
246,Taoudenni,ML,22.6783,-3.9836,61.3,27,0,9.44,clear sky
247,Kropotkin,RU,45.4375,40.5756,35.01,83,0,6.4,clear sky
248,Kawalu,ID,-7.3817,108.2082,85.35,63,87,0.85,moderate rain
249,Lompoc,US,34.6391,-120.4579,48.2,81,20,5.75,few clouds
250,Turka,UA,49.1541,23.0297,44.01,77,100,6.02,overcast clouds
251,Betong,TH,5.7743,101.0723,88.97,51,27,1.1,scattered clouds
252,Kudahuvadhoo,MV,2.6708,72.8944,83.37,66,81,7.72,broken clouds
253,Laguna,US,38.421,-121.4238,48.99,71,1,2.62,clear sky
254,Dejen,ET,10.1667,38.1333,50.05,50,64,2.42,broken clouds
255,Tsabong,BW,-26.0217,22.401,76.68,34,68,3.27,broken clouds
256,Mianwali,PK,32.5741,71.5264,54.21,32,0,5.5,clear sky
257,Shingu,JP,33.7333,135.9833,50.0,100,75,4.61,broken clouds
258,Cidreira,BR,-30.1811,-50.2056,75.65,83,0,16.89,clear sky
259,Tymovskoye,RU,50.8456,142.655,7.83,90,100,8.05,overcast clouds
260,Port Hardy,CA,50.6996,-127.4199,39.2,87,90,10.36,overcast clouds
261,Tuatapere,NZ,-46.1333,167.6833,60.01,80,95,21.99,overcast clouds
262,Kholodnyy,RU,62.7167,147.95,-19.84,83,100,3.87,overcast clouds
263,Muros,ES,42.7762,-9.0603,52.0,90,97,1.01,overcast clouds
264,Ukiah,US,39.1502,-123.2078,44.6,81,1,2.04,clear sky
265,Ntoum,GA,0.3833,9.7833,77.0,100,20,2.3,few clouds
266,Moose Factory,CA,51.2585,-80.6094,-11.2,70,1,4.61,clear sky
267,Asilah,MA,35.465,-6.0348,55.4,100,75,10.36,broken clouds
268,Cap Malheureux,MU,-19.9842,57.6142,84.0,71,3,1.99,clear sky
269,Hearst,CA,49.6835,-83.6665,3.2,85,0,3.44,clear sky
